SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"88 NADDER PARK ROAD, EXETER, EX4 1NX",,,88,NADDER PARK ROAD,,EXETER
"90 NADDER PARK ROAD, EXETER, EX4 1NX",,,90,NADDER PARK ROAD,,EXETER
"69 WESTMINSTER ROAD, EXETER, EX4 2LT",,,69,WESTMINSTER ROAD,,EXETER
"50 BARLEY LANE, EXETER, EX4 1TD",,,50,BARLEY LANE,,EXETER
"18 NADDER PARK ROAD, EXETER, EX4 1NU",,,18,NADDER PARK ROAD,,EXETER
"9 RIPON CLOSE, EXETER, EX4 2NF",,,9,RIPON CLOSE,,EXETER
"2 FOXTOR ROAD, EXETER, EX4 2NQ",,,2,FOXTOR ROAD,,EXETER
"86 NADDER PARK ROAD, EXETER, EX4 1NX",,,86,NADDER PARK ROAD,,EXETER
"14 GARLAND CLOSE, EXETER, EX4 2NS",,,14,GARLAND CLOSE,,EXETER
"52 NADDER PARK ROAD, EXETER, EX4 1NX",,,52,NADDER PARK ROAD,,EXETER
"138 GLOUCESTER ROAD, EXETER, EX4 2JB",,,138,GLOUCESTER ROAD,,EXETER
"6 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,6,MEADOWBROOK CLOSE,,EXETER
"17A HIGH STREET, IDE, EXETER, EX2 9RW",,,17A,HIGH STREET,,IDE
"24 NADDER PARK ROAD, EXETER, EX4 1NU",,,24,NADDER PARK ROAD,,EXETER
"54 NADDER PARK ROAD, EXETER, EX4 1NX",,,54,NADDER PARK ROAD,,EXETER
"21 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,21,MEADOWBROOK CLOSE,,EXETER
"90 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,90,BARLEY FARM ROAD,COWICK,EXETER
"88 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,88,BARLEY FARM ROAD,COWICK,EXETER
"86 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,86,BARLEY FARM ROAD,COWICK,EXETER
"84 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,84,BARLEY FARM ROAD,COWICK,EXETER
"82 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,82,BARLEY FARM ROAD,COWICK,EXETER
"50 NADDER PARK ROAD, EXETER, EX4 1NX",,,50,NADDER PARK ROAD,,EXETER
"56 NADDER PARK ROAD, EXETER, EX4 1NX",,,56,NADDER PARK ROAD,,EXETER
"16 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,16,CHELTENHAM CLOSE,,EXETER
"4 FOXTOR ROAD, EXETER, EX4 2NQ",,,4,FOXTOR ROAD,,EXETER
"4 RUSHFORTH PLACE, EXETER, EX4 2NU",,,4,RUSHFORTH PLACE,,EXETER
"1 WHEATLEY CLOSE, EXETER, EX4 1NT",,,1,WHEATLEY CLOSE,,EXETER
"84 NADDER PARK ROAD, EXETER, EX4 1NX",,,84,NADDER PARK ROAD,,EXETER
"14 RIPON CLOSE, EXETER, EX4 2NF",,,14,RIPON CLOSE,,EXETER
"16 RIPON CLOSE, EXETER, EX4 2NF",,,16,RIPON CLOSE,,EXETER
"136 GLOUCESTER ROAD, EXETER, EX4 2JB",,,136,GLOUCESTER ROAD,,EXETER
"5 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,5,MEADOWBROOK CLOSE,,EXETER
"265 FARM HILL, EXETER, EX4 2NW",,,265,FARM HILL,,EXETER
"1 CROFT CHASE, EXETER, EX4 1TB",,,1,CROFT CHASE,,EXETER
"70A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,70A,BARLEY FARM ROAD,COWICK,EXETER
"70 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,70,BARLEY FARM ROAD,COWICK,EXETER
"82 NADDER PARK ROAD, EXETER, EX4 1NX",,,82,NADDER PARK ROAD,,EXETER
"7 RIPON CLOSE, EXETER, EX4 2NF",,,7,RIPON CLOSE,,EXETER
"72A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,72A,BARLEY FARM ROAD,COWICK,EXETER
"72 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,72,BARLEY FARM ROAD,COWICK,EXETER
"78 NADDER PARK ROAD, EXETER, EX4 1NX",,,78,NADDER PARK ROAD,,EXETER
"80 NADDER PARK ROAD, EXETER, EX4 1NX",,,80,NADDER PARK ROAD,,EXETER
"1 ST ALBANS CLOSE, EXETER, EX4 2NE",,,1,ST ALBANS CLOSE,,EXETER
"22 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,22,MEADOWBROOK CLOSE,,EXETER
"13 GARLAND CLOSE, EXETER, EX4 2NS",,,13,GARLAND CLOSE,,EXETER
"10 GARLAND CLOSE, EXETER, EX4 2NS",,,10,GARLAND CLOSE,,EXETER
"58 NADDER PARK ROAD, EXETER, EX4 1NX",,,58,NADDER PARK ROAD,,EXETER
"60 NADDER PARK ROAD, EXETER, EX4 1NX",,,60,NADDER PARK ROAD,,EXETER
"76 NADDER PARK ROAD, EXETER, EX4 1NX",,,76,NADDER PARK ROAD,,EXETER
"8 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,8,CHELTENHAM CLOSE,,EXETER
"1 FOXTOR ROAD, EXETER, EX4 2NQ",,,1,FOXTOR ROAD,,EXETER
"25 CHELMSFORD ROAD, EXETER, EX4 2LN",,,25,CHELMSFORD ROAD,,EXETER
"9 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,9,CHELTENHAM CLOSE,,EXETER
"6 FOXTOR ROAD, EXETER, EX4 2NQ",,,6,FOXTOR ROAD,,EXETER
"22 CROFT CHASE, EXETER, EX4 1TB",,,22,CROFT CHASE,,EXETER
"74A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,74A,BARLEY FARM ROAD,COWICK,EXETER
"74 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,74,BARLEY FARM ROAD,COWICK,EXETER
"62 NADDER PARK ROAD, EXETER, EX4 1NX",,,62,NADDER PARK ROAD,,EXETER
"64 NADDER PARK ROAD, EXETER, EX4 1NX",,,64,NADDER PARK ROAD,,EXETER
"72 NADDER PARK ROAD, EXETER, EX4 1NX",,,72,NADDER PARK ROAD,,EXETER
"74 NADDER PARK ROAD, EXETER, EX4 1NX",,,74,NADDER PARK ROAD,,EXETER
"134 GLOUCESTER ROAD, EXETER, EX4 2JB",,,134,GLOUCESTER ROAD,,EXETER
"17 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,17,CHELTENHAM CLOSE,,EXETER
"11 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,11,CHELTENHAM CLOSE,,EXETER
"10 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,10,CHELTENHAM CLOSE,,EXETER
"4 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,4,MEADOWBROOK CLOSE,,EXETER
"29 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,29,HEXWORTHY AVENUE,,EXETER
"22 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,22,HEXWORTHY AVENUE,,EXETER
"12 GARLAND CLOSE, EXETER, EX4 2NS",,,12,GARLAND CLOSE,,EXETER
"9 GARLAND CLOSE, EXETER, EX4 2NS",,,9,GARLAND CLOSE,,EXETER
"76A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,76A,BARLEY FARM ROAD,COWICK,EXETER
"76 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,76,BARLEY FARM ROAD,COWICK,EXETER
"2 WHEATLEY CLOSE, EXETER, EX4 1NT",,,2,WHEATLEY CLOSE,,EXETER
"66 NADDER PARK ROAD, EXETER, EX4 1NX",,,66,NADDER PARK ROAD,,EXETER
"68 NADDER PARK ROAD, EXETER, EX4 1NX",,,68,NADDER PARK ROAD,,EXETER
"70 NADDER PARK ROAD, EXETER, EX4 1NX",,,70,NADDER PARK ROAD,,EXETER
"3 ST ALBANS CLOSE, EXETER, EX4 2NE",,,3,ST ALBANS CLOSE,,EXETER
"13 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,13,CHELTENHAM CLOSE,,EXETER
"12 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,12,CHELTENHAM CLOSE,,EXETER
"23 CROFT CHASE, EXETER, EX4 1TB",,,23,CROFT CHASE,,EXETER
"11 GARLAND CLOSE, EXETER, EX4 2NS",,,11,GARLAND CLOSE,,EXETER
"26 NADDER PARK ROAD, EXETER, EX4 1NU",,,26,NADDER PARK ROAD,,EXETER
"10 RIPON CLOSE, EXETER, EX4 2NF",,,10,RIPON CLOSE,,EXETER
"12 RIPON CLOSE, EXETER, EX4 2NF",,,12,RIPON CLOSE,,EXETER
"32 FORE STREET, IDE, EXETER, EX2 9RQ",,,32,FORE STREET,,IDE
"24 CROFT CHASE, EXETER, EX4 1TB",,,24,CROFT CHASE,,EXETER
"14 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,14,CHELTENHAM CLOSE,,EXETER
"7 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,7,CHELTENHAM CLOSE,,EXETER
"8 GARLAND CLOSE, EXETER, EX4 2NS",,,8,GARLAND CLOSE,,EXETER
"3 HIGH STREET, IDE, EXETER, EX2 9RN",,,3,HIGH STREET,,IDE
"16 WHEATLEY CLOSE, EXETER, EX4 1NT",,,16,WHEATLEY CLOSE,,EXETER
"15 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,15,CHELTENHAM CLOSE,,EXETER
"7 HIGH STREET, IDE, EXETER, EX2 9RN",,,7,HIGH STREET,,IDE
"44 BARLEY LANE, EXETER, EX4 1TD",,,44,BARLEY LANE,,EXETER
"21 CROFT CHASE, EXETER, EX4 1TB",,,21,CROFT CHASE,,EXETER
"5 RIPON CLOSE, EXETER, EX4 2NF",,,5,RIPON CLOSE,,EXETER
"27 CHELMSFORD ROAD, EXETER, EX4 2LN",,,27,CHELMSFORD ROAD,,EXETER
"3 FOXTOR ROAD, EXETER, EX4 2NQ",,,3,FOXTOR ROAD,,EXETER
"45 GARLAND CLOSE, EXETER, EX4 2NT",,,45,GARLAND CLOSE,,EXETER
"28 NADDER PARK ROAD, EXETER, EX4 1NU",,,28,NADDER PARK ROAD,,EXETER
"5 ST ALBANS CLOSE, EXETER, EX4 2NE",,,5,ST ALBANS CLOSE,,EXETER
"18 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,18,CHELTENHAM CLOSE,,EXETER
"46 BARLEY LANE, EXETER, EX4 1TD",,,46,BARLEY LANE,,EXETER
"132 GLOUCESTER ROAD, EXETER, EX4 2JB",,,132,GLOUCESTER ROAD,,EXETER
"8 FOXTOR ROAD, EXETER, EX4 2NQ",,,8,FOXTOR ROAD,,EXETER
"23 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,23,MEADOWBROOK CLOSE,,EXETER
"42 BARLEY LANE, EXETER, EX4 1TD",,,42,BARLEY LANE,,EXETER
"15 WHEATLEY CLOSE, EXETER, EX4 1NT",,,15,WHEATLEY CLOSE,,EXETER
"7 GARLAND CLOSE, EXETER, EX4 2NS",,,7,GARLAND CLOSE,,EXETER
"40 BARLEY LANE, EXETER, EX4 1TD",,,40,BARLEY LANE,,EXETER
"3 WHEATLEY CLOSE, EXETER, EX4 1NT",,,3,WHEATLEY CLOSE,,EXETER
"6 RIPON CLOSE, EXETER, EX4 2NF",,,6,RIPON CLOSE,,EXETER
"8 RIPON CLOSE, EXETER, EX4 2NF",,,8,RIPON CLOSE,,EXETER
"2 ST ALBANS CLOSE, EXETER, EX4 2NE",,,2,ST ALBANS CLOSE,,EXETER
"7 ST ALBANS CLOSE, EXETER, EX4 2NE",,,7,ST ALBANS CLOSE,,EXETER
"27 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,27,HEXWORTHY AVENUE,,EXETER
"46 GARLAND CLOSE, EXETER, EX4 2NT",,,46,GARLAND CLOSE,,EXETER
"RIPPLE COTTAGE, 30 FORE STREET, IDE, EXETER, EX2 9RQ",,RIPPLE COTTAGE,30,FORE STREET,,IDE
"29 CHELMSFORD ROAD, EXETER, EX4 2LN",,,29,CHELMSFORD ROAD,,EXETER
"38 BARLEY LANE, EXETER, EX4 1TD",,,38,BARLEY LANE,,EXETER
"10 FOXTOR ROAD, EXETER, EX4 2NQ",,,10,FOXTOR ROAD,,EXETER
"264 FARM HILL, EXETER, EX4 2NW",,,264,FARM HILL,,EXETER
"11 HIGH STREET, IDE, EXETER, EX2 9RN",,,11,HIGH STREET,,IDE
"THE BARN, 1 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE BARN,1,DRAKES FARM,,IDE
"48 BARLEY LANE, EXETER, EX4 1TD",,,48,BARLEY LANE,,EXETER
"3 RIPON CLOSE, EXETER, EX4 2NF",,,3,RIPON CLOSE,,EXETER
"4 ST ALBANS CLOSE, EXETER, EX4 2NE",,,4,ST ALBANS CLOSE,,EXETER
"130 GLOUCESTER ROAD, EXETER, EX4 2JB",,,130,GLOUCESTER ROAD,,EXETER
"6 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,6,CHELTENHAM CLOSE,,EXETER
"24 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,24,MEADOWBROOK CLOSE,,EXETER
"36 BARLEY LANE, EXETER, EX4 1TD",,,36,BARLEY LANE,,EXETER
"2 CROFT CHASE, EXETER, EX4 1TB",,,2,CROFT CHASE,,EXETER
"9 ST ALBANS CLOSE, EXETER, EX4 2NE",,,9,ST ALBANS CLOSE,,EXETER
"19 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,19,CHELTENHAM CLOSE,,EXETER
"4 WHEATLEY CLOSE, EXETER, EX4 1NT",,,4,WHEATLEY CLOSE,,EXETER
"40 KESTOR DRIVE, EXETER, EX4 2NH",,,40,KESTOR DRIVE,,EXETER
"13 KESTOR DRIVE, EXETER, EX4 2NH",,,13,KESTOR DRIVE,,EXETER
"5 FOXTOR ROAD, EXETER, EX4 2NQ",,,5,FOXTOR ROAD,,EXETER
"6 GARLAND CLOSE, EXETER, EX4 2NS",,,6,GARLAND CLOSE,,EXETER
"47 GARLAND CLOSE, EXETER, EX4 2NT",,,47,GARLAND CLOSE,,EXETER
"34 BARLEY LANE, EXETER, EX4 1TD",,,34,BARLEY LANE,,EXETER
"31 CHELMSFORD ROAD, EXETER, EX4 2LN",,,31,CHELMSFORD ROAD,,EXETER
"3 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,3,MEADOWBROOK CLOSE,,EXETER
"2 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,2,MEADOWBROOK CLOSE,,EXETER
"1 MEADOWBROOK CLOSE, EXETER, EX4 2NN",,,1,MEADOWBROOK CLOSE,,EXETER
"263 FARM HILL, EXETER, EX4 2NW",,,263,FARM HILL,,EXETER
"28 FORE STREET, IDE, EXETER, EX2 9RQ",,,28,FORE STREET,,IDE
"94 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,94,BARLEY FARM ROAD,COWICK,EXETER
"6 ST ALBANS CLOSE, EXETER, EX4 2NE",,,6,ST ALBANS CLOSE,,EXETER
"11 ST ALBANS CLOSE, EXETER, EX4 2NE",,,11,ST ALBANS CLOSE,,EXETER
"128 GLOUCESTER ROAD, EXETER, EX4 2JB",,,128,GLOUCESTER ROAD,,EXETER
"12 FOXTOR ROAD, EXETER, EX4 2NQ",,,12,FOXTOR ROAD,,EXETER
"92 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,92,BARLEY FARM ROAD,COWICK,EXETER
"5 GARLAND CLOSE, EXETER, EX4 2NS",,,5,GARLAND CLOSE,,EXETER
"24A FORE STREET, IDE, EXETER, EX2 9RQ",,,24A,FORE STREET,,IDE
"96 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,96,BARLEY FARM ROAD,COWICK,EXETER
"100 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,100,BARLEY FARM ROAD,COWICK,EXETER
"1 RIPON CLOSE, EXETER, EX4 2NF",,,1,RIPON CLOSE,,EXETER
"2 RIPON CLOSE, EXETER, EX4 2NF",,,2,RIPON CLOSE,,EXETER
"4 RIPON CLOSE, EXETER, EX4 2NF",,,4,RIPON CLOSE,,EXETER
"20 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,20,HEXWORTHY AVENUE,,EXETER
"9 HIGH STREET, IDE, EXETER, EX2 9RN",,,9,HIGH STREET,,IDE
"20 CROFT CHASE, EXETER, EX4 1TB",,,20,CROFT CHASE,,EXETER
"61 ANTONINE CRESCENT, EXETER, EX4 1SP",,,61,ANTONINE CRESCENT,,EXETER
"8 ST ALBANS CLOSE, EXETER, EX4 2NE",,,8,ST ALBANS CLOSE,,EXETER
"20 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,20,CHELTENHAM CLOSE,,EXETER
"48 GARLAND CLOSE, EXETER, EX4 2NT",,,48,GARLAND CLOSE,,EXETER
"98 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NW",,,98,BARLEY FARM ROAD,COWICK,EXETER
"59 ANTONINE CRESCENT, EXETER, EX4 1SP",,,59,ANTONINE CRESCENT,,EXETER
"13 ST ALBANS CLOSE, EXETER, EX4 2NE",,,13,ST ALBANS CLOSE,,EXETER
"262 FARM HILL, EXETER, EX4 2NW",,,262,FARM HILL,,EXETER
"26A FORE STREET, IDE, EXETER, EX2 9RQ",,,26A,FORE STREET,,IDE
"32 BARLEY LANE, EXETER, EX4 1TD",,,32,BARLEY LANE,,EXETER
"33 CHELMSFORD ROAD, EXETER, EX4 2LN",,,33,CHELMSFORD ROAD,,EXETER
"46 NADDER PARK ROAD, EXETER, EX4 1NU",,,46,NADDER PARK ROAD,,EXETER
"48 NADDER PARK ROAD, EXETER, EX4 1NU",,,48,NADDER PARK ROAD,,EXETER
"126 GLOUCESTER ROAD, EXETER, EX4 2JB",,,126,GLOUCESTER ROAD,,EXETER
"5 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,5,CHELTENHAM CLOSE,,EXETER
"42 NADDER PARK ROAD, EXETER, EX4 1NU",,,42,NADDER PARK ROAD,,EXETER
"44 NADDER PARK ROAD, EXETER, EX4 1NU",,,44,NADDER PARK ROAD,,EXETER
"261 FARM HILL, EXETER, EX4 2NW",,,261,FARM HILL,,EXETER
"30 BARLEY LANE, EXETER, EX4 1TD",,,30,BARLEY LANE,,EXETER
"15 ST ALBANS CLOSE, EXETER, EX4 2NE",,,15,ST ALBANS CLOSE,,EXETER
"25 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,25,HEXWORTHY AVENUE,,EXETER
"5 RUSHFORTH PLACE, EXETER, EX4 2NU",,,5,RUSHFORTH PLACE,,EXETER
"6 RUSHFORTH PLACE, EXETER, EX4 2NU",,,6,RUSHFORTH PLACE,,EXETER
"49 GARLAND CLOSE, EXETER, EX4 2NT",,,49,GARLAND CLOSE,,EXETER
"26 FORE STREET, IDE, EXETER, EX2 9RQ",,,26,FORE STREET,,IDE
"16A FORE STREET, IDE, EXETER, EX2 9RQ",,,16A,FORE STREET,,IDE
"3 CROFT CHASE, EXETER, EX4 1TB",,,3,CROFT CHASE,,EXETER
"68A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,68A,BARLEY FARM ROAD,COWICK,EXETER
"68 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,68,BARLEY FARM ROAD,COWICK,EXETER
"40 NADDER PARK ROAD, EXETER, EX4 1NU",,,40,NADDER PARK ROAD,,EXETER
"10 ST ALBANS CLOSE, EXETER, EX4 2NE",,,10,ST ALBANS CLOSE,,EXETER
"124 GLOUCESTER ROAD, EXETER, EX4 2JB",,,124,GLOUCESTER ROAD,,EXETER
"7 RUSHFORTH PLACE, EXETER, EX4 2NU",,,7,RUSHFORTH PLACE,,EXETER
"38 NADDER PARK ROAD, EXETER, EX4 1NU",,,38,NADDER PARK ROAD,,EXETER
"21 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,21,CHELTENHAM CLOSE,,EXETER
"38 KESTOR DRIVE, EXETER, EX4 2NH",,,38,KESTOR DRIVE,,EXETER
"14 FOXTOR ROAD, EXETER, EX4 2NQ",,,14,FOXTOR ROAD,,EXETER
"36 NADDER PARK ROAD, EXETER, EX4 1NU",,,36,NADDER PARK ROAD,,EXETER
"50 HADRIAN DRIVE, EXETER, EX4 1SR",,,50,HADRIAN DRIVE,,EXETER
"18 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,18,HEXWORTHY AVENUE,,EXETER
"260 FARM HILL, EXETER, EX4 2NW",,,260,FARM HILL,,EXETER
"28 BARLEY LANE, EXETER, EX4 1TD",,,28,BARLEY LANE,,EXETER
"66A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,66A,BARLEY FARM ROAD,COWICK,EXETER
"66 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,66,BARLEY FARM ROAD,COWICK,EXETER
"32 NADDER PARK ROAD, EXETER, EX4 1NU",,,32,NADDER PARK ROAD,,EXETER
"34 NADDER PARK ROAD, EXETER, EX4 1NU",,,34,NADDER PARK ROAD,,EXETER
"35 CHELMSFORD ROAD, EXETER, EX4 2LN",,,35,CHELMSFORD ROAD,,EXETER
"30 NADDER PARK ROAD, EXETER, EX4 1NU",,,30,NADDER PARK ROAD,,EXETER
"12 ST ALBANS CLOSE, EXETER, EX4 2NE",,,12,ST ALBANS CLOSE,,EXETER
"23 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,23,HEXWORTHY AVENUE,,EXETER
"50 GARLAND CLOSE, EXETER, EX4 2NT",,,50,GARLAND CLOSE,,EXETER
"24 FORE STREET, IDE, EX2 9RQ",,,24,FORE STREET,,IDE
"26 BARLEY LANE, EXETER, EX4 1TD",,,26,BARLEY LANE,,EXETER
"29 CROFT CHASE, EXETER, EX4 1TB",,,29,CROFT CHASE,,EXETER
"17 ST ALBANS CLOSE, EXETER, EX4 2NE",,,17,ST ALBANS CLOSE,,EXETER
"22 FORE STREET, IDE, EXETER, EX2 9RQ",,,22,FORE STREET,,IDE
"122 GLOUCESTER ROAD, EXETER, EX4 2JB",,,122,GLOUCESTER ROAD,,EXETER
"19 CROFT CHASE, EXETER, EX4 1TB",,,19,CROFT CHASE,,EXETER
"57 ANTONINE CRESCENT, EXETER, EX4 1SP",,,57,ANTONINE CRESCENT,,EXETER
"55 ANTONINE CRESCENT, EXETER, EX4 1SP",,,55,ANTONINE CRESCENT,,EXETER
"14 ST ALBANS CLOSE, EXETER, EX4 2NE",,,14,ST ALBANS CLOSE,,EXETER
"35 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,35,CHELTENHAM CLOSE,,EXETER
"37 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,37,CHELTENHAM CLOSE,,EXETER
"7 FOXTOR ROAD, EXETER, EX4 2NQ",,,7,FOXTOR ROAD,,EXETER
"64A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,64A,BARLEY FARM ROAD,COWICK,EXETER
"64 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,64,BARLEY FARM ROAD,COWICK,EXETER
"19 ST ALBANS CLOSE, EXETER, EX4 2NE",,,19,ST ALBANS CLOSE,,EXETER
"36 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,36,CHELTENHAM CLOSE,,EXETER
"4 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,4,CHELTENHAM CLOSE,,EXETER
"36 KESTOR DRIVE, EXETER, EX4 2NH",,,36,KESTOR DRIVE,,EXETER
"24 BARLEY LANE, EXETER, EX4 1TD",,,24,BARLEY LANE,,EXETER
"25 HADRIAN DRIVE, EXETER, EX4 1SR",,,25,HADRIAN DRIVE,,EXETER
"16 FOXTOR ROAD, EXETER, EX4 2NQ",,,16,FOXTOR ROAD,,EXETER
